Voltages are wrong

time,torque,RPM,current,voltage
44.410160541534424,-0.00,0.00,-111.20,27.67
45.40105581283569,-0.00,0.00,-111.89,27.67
46.408992290496826,-0.00,0.00,-111.67,27.65
47.4170184135437,-0.00,0.00,-110.56,27.67
48.440783739089966,-0.00,0.00,-111.20,27.67
49.44823908805847,-0.00,0.00,-110.67,27.65
50.45603370666504,-0.00,0.00,-111.89,27.67
51.464043855667114,-0.00,0.00,-111.56,27.67
52.47186756134033,-0.00,0.00,-110.90,27.67
53.479623794555664,-0.00,0.00,-110.44,27.65
54.4874963760376,-0.00,0.00,-110.89,27.65
55.495129108428955,-0.00,0.00,-110.11,27.67
56.518807888031006,-0.00,0.00,-110.00,27.62
57.51051425933838,-0.00,0.00,-110.33,27.67
58.51797294616699,-0.00,0.00,-110.00,27.65
59.52566146850586,-0.00,0.00,-110.11,27.65
60.549103021621704,-0.00,0.00,-110.30,27.65
61.540669679641724,-0.00,0.00,-109.33,27.67
62.5481698513031,-0.00,0.00,-110.56,27.67
63.55570697784424,-0.00,0.00,-110.56,27.67
64.57931804656982,-0.00,0.00,-111.20,27.67
65.58672308921814,-0.00,0.00,-110.11,27.70
66.59416937828064,-0.00,0.00,-110.44,27.65
67.6015932559967,-0.00,0.00,-109.89,27.65
68.60954856872559,-0.00,0.00,-109.50,27.67
69.61715149879456,-0.00,0.00,-109.22,27.65
70.62465333938599,-0.00,0.00,-109.89,27.67
71.63225793838501,-0.00,0.00,-108.56,27.70
72.65567183494568,-0.00,0.00,-110.30,27.67
73.64737486839294,-0.00,0.00,-109.67,27.67
74.654869556427,-0.00,0.00,-109.33,27.67
75.66239476203918,-0.00,0.00,-110.89,27.65
76.6860499382019,-0.00,0.00,-109.20,27.67
77.67770075798035,-0.00,0.00,-108.67,27.67
78.68553185462952,-0.00,0.00,-109.56,27.67
79.69268822669983,-0.00,0.00,-110.33,27.67
80.7163233757019,-0.00,0.00,-109.40,27.65
81.70789289474487,-0.00,0.00,-110.11,27.65
82.71549558639526,-0.00,0.00,-109.33,27.65
83.7387535572052,-0.00,0.00,-110.44,27.67
84.74669241905212,-0.00,0.00,-111.80,27.65
85.7539873123169,-0.00,0.00,-111.00,27.67
86.76172995567322,-0.00,0.00,-110.22,27.65
87.76934385299683,-0.00,0.00,-110.78,27.67
88.77714252471924,-0.00,0.00,-109.70,27.65
89.7845811843872,-0.00,0.00,-110.67,27.62
90.79237651824951,-0.00,0.00,-109.44,27.67
91.79981398582458,-0.00,0.00,-110.67,27.67
92.82327914237976,-0.00,0.00,-110.00,27.65
93.81501150131226,-0.00,0.00,-109.78,27.70
94.82257032394409,-0.00,0.00,-109.67,27.65
95.83014607429504,-0.00,0.00,-109.78,27.70
96.85384893417358,-0.00,0.00,-109.80,27.70
97.844886302948,-0.00,0.00,-111.33,27.65
98.85296845436096,-0.00,0.00,-109.33,27.65
99.860511302948,-0.00,0.00,-109.78,27.65
100.88366794586182,-0.00,0.00,-109.70,27.67
