time,torque,RPM,current,voltage
0.7222988605499268,-0.00,0.00,113.56,0.00
1.7456154823303223,-0.00,0.00,113.89,0.00
2.7532119750976562,-0.00,0.00,114.20,0.00
3.761237382888794,-0.00,0.00,114.00,0.00
4.769137382507324,-0.00,0.00,114.22,0.00
5.77645468711853,-0.00,0.00,114.78,0.00
6.7844836711883545,-0.00,0.00,114.80,0.00
7.792264699935913,-0.00,0.00,114.33,0.00
8.799752950668335,-0.00,0.00,113.11,0.00
9.807658195495605,-0.00,0.00,113.11,0.00
10.831006288528442,0.42,1098.04,1120.80,16.45
11.822582244873047,0.44,2204.41,875.44,16.40
12.83067536354065,0.40,2198.02,873.78,16.40
13.838528156280518,0.46,2200.20,843.44,16.40
14.845637321472168,0.45,2198.02,804.33,16.45
15.854004383087158,0.42,2217.82,816.90,16.42
16.861266136169434,0.48,2198.02,815.44,16.37
17.86866855621338,0.44,2198.02,797.22,16.34
18.89294743537903,0.43,2174.34,845.20,16.37
19.884687423706055,0.47,2200.00,865.78,16.37
20.90787100791931,0.44,2198.02,871.00,16.34
21.915772199630737,0.41,2178.22,901.33,16.42
22.923957347869873,0.47,2193.93,891.00,16.42
23.93102717399597,0.44,2202.20,895.44,16.42
24.93896198272705,0.41,2198.02,893.00,16.37
25.946671724319458,0.48,2178.22,859.33,16.34
26.954569101333618,0.43,2196.08,845.40,16.42
27.96220064163208,0.43,2197.80,832.56,16.40
28.970113277435303,0.46,2198.02,855.00,16.40
29.97764229774475,0.45,2195.85,837.89,16.32
31.00114870071411,0.45,2198.23,875.30,16.40
31.992985248565674,0.46,2182.18,857.22,16.37
33.00081920623779,0.47,2198.02,860.56,16.34
34.00827074050903,0.46,2198.02,904.78,16.37
35.03212523460388,0.46,2196.08,896.20,16.42
36.02388143539429,0.46,2184.37,873.00,16.37
37.031556606292725,0.49,2198.02,928.22,16.42
38.03923535346985,0.46,2200.20,933.67,16.45
39.047038555145264,0.46,2198.02,933.44,16.40
40.0546441078186,0.49,2198.02,917.60,16.40
41.06237578392029,0.45,2198.02,902.89,16.45
42.070080518722534,0.45,2198.02,909.11,16.37
43.093554973602295,0.47,2213.52,900.60,16.40
44.101070165634155,0.45,2200.00,902.78,16.34
45.108673334121704,0.44,2178.22,929.44,16.40
46.116480350494385,0.50,2198.02,919.78,16.42
47.124229431152344,0.43,2213.52,925.10,16.42
48.131956815719604,0.44,2182.18,922.00,16.37
49.13952565193176,0.49,2198.02,915.56,16.45
50.14726948738098,0.44,2217.82,928.56,16.42
51.17051458358765,0.43,2198.23,944.10,16.40
52.16253471374512,0.50,2195.61,924.22,16.37
53.17016792297363,0.45,2195.85,930.33,16.29
54.177809715270996,0.44,2195.85,951.56,16.40
55.20110464096069,0.49,2198.23,924.60,16.34
56.19275093078613,0.47,2195.61,878.56,16.42
57.20075821876526,0.47,2200.20,917.67,16.40
58.208401679992676,0.48,2198.02,957.44,16.32
59.2322473526001,0.48,2178.61,986.20,16.32
60.239344358444214,0.50,2202.20,1010.11,16.42
61.24712944030762,0.51,2178.22,978.22,16.37
62.25446581840515,0.50,2178.22,927.67,16.37
63.2623655796051,0.53,2178.61,1000.50,16.42
64.27022886276245,0.49,2200.00,1013.67,16.34
65.27800607681274,0.49,2176.06,986.56,16.26
66.28574705123901,0.57,2158.42,1071.67,16.29
67.30888843536377,0.58,2176.47,1090.40,16.40
68.30103850364685,0.61,2160.00,1098.00,16.37
69.30846571922302,0.63,2158.42,1060.89,16.34
70.31613111495972,0.57,2158.42,1118.89,16.37
71.33975434303284,0.58,2158.98,962.80,16.34
72.33162260055542,0.63,2160.00,1114.00,16.42
73.33918166160583,0.60,2158.42,1131.22,16.34
74.34680891036987,0.62,2178.22,1067.89,16.40
75.37041807174683,0.65,2139.35,1158.20,16.32
76.3621153831482,0.64,2157.84,1146.56,16.45
77.36972856521606,0.64,2156.28,1133.56,16.37
78.37760281562805,0.67,2178.22,1134.00,16.37
79.40105962753296,0.64,2154.75,1205.30,16.34
80.40852284431458,0.69,2137.86,1155.78,16.32
81.41634202003479,0.69,2178.22,1178.00,16.37
82.42366886138916,0.65,2158.42,1157.33,16.32
83.44750094413757,0.66,2154.75,1162.00,16.34
84.43932795524597,0.69,2140.00,1176.00,16.26
85.44698929786682,0.66,2158.42,1205.00,16.32
86.45474100112915,0.67,2156.28,1154.56,16.32
87.47831583023071,0.69,2154.75,1200.90,16.32
88.46997594833374,0.67,2142.14,1200.44,16.37
89.4775938987732,0.69,2158.42,1237.11,16.34
90.48513531684875,0.69,2158.42,1182.56,16.45
91.50894594192505,0.71,2137.25,1235.70,16.37
92.5161337852478,0.71,2137.86,1190.89,16.37
93.52394890785217,0.71,2158.42,1268.56,16.40
94.53163313865662,0.72,2138.61,1291.33,16.37
95.53912806510925,0.79,2115.57,1336.50,16.32
96.54708099365234,0.79,2137.86,1381.89,16.32
97.55482244491577,0.78,2138.61,1359.56,16.40
98.56240963935852,0.79,2118.81,1321.22,16.34
99.58589696884155,0.79,2135.16,1371.60,16.37
100.57765078544617,0.79,2120.00,1387.67,16.34
101.58521938323975,0.80,2138.61,1334.44,16.29
102.59299278259277,0.81,2116.72,1376.44,16.32
103.61665725708008,0.81,2135.16,1395.40,16.32
104.60832977294922,0.81,2122.12,1386.56,16.29
105.61594986915588,0.82,2118.81,1388.89,16.29
106.62353301048279,0.80,2140.73,1418.11,16.32
107.64714646339417,0.81,2117.65,1391.40,16.37
108.65473222732544,0.81,2117.88,1384.67,16.37
109.6625075340271,0.84,2118.81,1460.89,16.37
110.67017412185669,0.93,2099.01,1581.33,16.32
111.67790222167969,0.92,2115.57,1548.40,16.32
112.68544149398804,0.88,2100.00,1569.44,16.37
113.69321751594543,0.91,2099.01,1578.78,16.37
114.70077133178711,0.92,2118.81,1565.11,16.32
115.72433829307556,0.91,2095.98,1548.70,16.32
116.71603608131409,0.93,2102.10,1542.11,16.34
117.72374844551086,0.91,2118.81,1532.89,16.32
118.73149824142456,0.91,2101.09,1537.00,16.40
119.73888421058655,0.92,2101.09,1575.56,16.37
120.74637198448181,0.92,2099.01,1566.40,16.32
121.75380802154541,0.90,2118.81,1583.33,16.42
122.76149797439575,0.92,2099.01,1588.67,16.32
123.78514337539673,0.93,2098.04,1556.20,16.34
124.77709197998047,0.92,2122.12,1587.11,16.34
125.78506875038147,0.97,2079.21,1635.00,16.42
126.79272413253784,0.94,2099.01,1608.44,16.34
127.81583452224731,0.94,2098.04,1608.20,16.37
128.8076741695404,0.94,2104.21,1583.89,16.37
129.83125686645508,0.95,2096.93,1586.56,16.34
130.838933467865,0.94,2101.09,1596.67,16.37
131.84634709358215,0.95,2101.09,1616.33,16.32
132.85415816307068,0.97,2099.01,1626.20,16.37
133.86189317703247,0.96,2101.09,1635.78,16.34
134.86938190460205,0.96,2096.93,1639.89,16.34
135.87755227088928,0.96,2098.04,1633.70,16.40
136.88506650924683,0.95,2097.90,1636.00,16.32
137.89231538772583,0.95,2101.09,1632.78,16.37
138.90030574798584,0.94,2096.93,1646.78,16.32
139.92390489578247,0.94,2098.04,1598.10,16.32
140.91534948349,0.94,2100.00,1619.22,16.32
141.92344212532043,0.96,2099.01,1617.67,16.40
142.93094110488892,0.95,2099.01,1597.33,16.40
143.95466208457947,0.95,2100.10,1614.10,16.34
144.94637751579285,0.94,2095.81,1609.56,16.34
145.9540731906891,0.95,2099.01,1603.56,16.34
146.97733283042908,0.97,2096.93,1606.44,16.34
147.98525953292847,0.95,2098.04,1630.10,16.34
148.99291229248047,0.95,2095.81,1625.56,16.37
