Unloaded

time,torque,RPM,current,voltage
2.8015618324279785,0.00,0.00,110.33,0.03
3.8087806701660156,0.00,0.00,110.67,0.00
4.8318772315979,0.00,0.00,109.67,0.00
5.839462995529175,0.00,0.00,110.50,0.00
6.846895694732666,0.00,0.00,109.56,0.00
7.854227781295776,0.21,772.28,778.67,16.42
8.861697435379028,0.16,2277.23,400.67,16.45
9.868845701217651,0.07,2297.03,405.20,16.48
10.875998735427856,0.09,2277.23,398.44,16.45
11.883306980133057,0.09,2299.31,404.44,16.45
12.89061427116394,0.08,2277.23,398.89,16.42
13.89797592163086,0.09,2274.97,411.90,16.45
14.90505599975586,0.09,2297.03,411.22,16.40
15.912582874298096,0.08,2277.23,410.44,16.40
16.936025381088257,0.08,2291.87,410.40,16.42
17.943431854248047,0.08,2280.00,408.44,16.45
18.95071530342102,0.08,2297.03,400.33,16.42
19.958383321762085,0.07,2274.97,399.67,16.48
20.981093406677246,0.08,2291.87,399.60,16.42
21.97292399406433,0.08,2302.30,401.44,16.45
22.980100631713867,0.09,2277.23,397.22,16.40
23.987534046173096,0.07,2297.03,401.00,16.42
25.010072469711304,0.08,2278.98,395.10,16.40
26.00159478187561,0.08,2297.70,397.89,16.42
27.00939965248108,0.08,2299.31,395.67,16.40
28.017013788223267,0.08,2277.23,409.22,16.40
29.039994478225708,0.08,2294.12,402.20,16.42
30.0314724445343,0.08,2282.28,405.78,16.40
31.054536819458008,0.08,2297.03,402.67,16.45
32.06196045875549,0.08,2297.03,402.78,16.40
33.06955528259277,0.08,2274.51,392.10,16.40
34.07667064666748,0.08,2302.30,395.56,16.37
35.08380699157715,0.07,2277.23,393.33,16.45
36.09143853187561,0.08,2299.31,388.11,16.40
37.098792552948,0.08,2294.12,404.20,16.45
38.106109619140625,0.09,2297.70,394.22,16.48
39.11356854438782,0.07,2277.23,396.78,16.42
40.120797634124756,0.08,2297.03,391.56,16.45
41.1442654132843,0.08,2291.87,363.90,16.15
42.135562896728516,0.01,1540.00,97.00,10.98
43.14287209510803,-0.01,356.44,108.33,0.00
44.15021586418152,-0.01,0.00,112.56,0.00
45.17329955101013,-0.01,0.00,112.90,0.00
46.18068861961365,-0.01,0.00,111.78,0.00
47.18792176246643,-0.00,0.00,111.44,0.00
48.19519066810608,-0.00,0.00,111.11,0.00
49.20226168632507,-0.00,0.00,111.80,0.00
50.20961332321167,-0.00,0.00,112.56,0.00
51.2168345451355,-0.00,0.00,111.89,0.27
52.224419832229614,-0.00,0.00,112.78,0.00
